Site,Project,Nickname,Sample ID,Plot,SubPlot,Depth_cm,Community,CO2_Treatment,N_Treatment,Temp_Treatment
GCReW,SMARTX,C4,452-120,452,NA,120,"SPPA, DISP",Ambient,NA,3.4
GCReW,SMARTX,C4,453-120,453,NA,120,"SPPA, DISP",Ambient,NA,5.1
GCReW,SMARTX,C4,460-120,460,NA,120,"SPPA, DISP",Ambient,NA,0
GCReW,SMARTX,C4,461-120,461,NA,120,"SPPA, DISP",Ambient,NA,1.7
GCReW,SMARTX,C4,462-120,462,NA,120,"SPPA, DISP",Ambient,NA,3.4
GCReW,SMARTX,C4,463-120,463,NA,120,"SPPA, DISP",Ambient,NA,5.1
GCReW,SMARTX,C3,610-120,610,NA,120,SCAM,Elevated,NA,0
GCReW,SMARTX,C3,613-120,613,NA,120,SCAM,Elevated,NA,5.1
GCReW,SMARTX,C3,620-120,620,NA,120,SCAM,Elevated,NA,0
GCReW,SMARTX,C3,623-120,623,NA,120,SCAM,Elevated,NA,5.1
GCReW,SMARTX,C3,630-120,630,NA,120,SCAM,Elevated,NA,0
GCReW,SMARTX,C3,633-120,633,NA,120,SCAM,Elevated,NA,5.1
GCReW,GENX,GENX,Ch1-5,Ch1,NA,5,"SCAM, SPPA, DISP",Ambient,NA,0
GCReW,GENX,GENX,Ch1-20,Ch1,NA,20,"SCAM, SPPA, DISP",Ambient,NA,0
GCReW,GENX,GENX,Ch1-40,Ch1,NA,40,"SCAM, SPPA, DISP",Ambient,NA,0
GCReW,GENX,GENX,Ch1-80,Ch1,NA,80,"SCAM, SPPA, DISP",Ambient,NA,0
GCReW,GENX,GENX,Ch2-5,Ch2,NA,5,"SCAM, SPPA, DISP",Ambient,NA,0
GCReW,GENX,GENX,Ch2-20,Ch2,NA,20,"SCAM, SPPA, DISP",Ambient,NA,0
GCReW,GENX,GENX,Ch2-40,Ch2,NA,40,"SCAM, SPPA, DISP",Ambient,NA,0
GCReW,GENX,GENX,Ch2-80,Ch2,NA,80,"SCAM, SPPA, DISP",Ambient,NA,0
GCReW,GENX,GENX,Ch3-5,Ch3,NA,5,"SCAM, SPPA, DISP",Ambient,NA,0.75
GCReW,GENX,GENX,Ch3-20,Ch3,NA,20,"SCAM, SPPA, DISP",Ambient,NA,0.75
GCReW,GENX,GENX,Ch3-40,Ch3,NA,40,"SCAM, SPPA, DISP",Ambient,NA,0.75
GCReW,GENX,GENX,Ch3-80,Ch3,NA,80,"SCAM, SPPA, DISP",Ambient,NA,0.75
GCReW,GENX,GENX,Ch4-5,Ch4,NA,5,"SCAM, SPPA, DISP",Ambient,NA,1.5
GCReW,GENX,GENX,Ch4-20,Ch4,NA,20,"SCAM, SPPA, DISP",Ambient,NA,1.5
GCReW,GENX,GENX,Ch4-40,Ch4,NA,40,"SCAM, SPPA, DISP",Ambient,NA,1.5
GCReW,GENX,GENX,Ch4-80,Ch4,NA,80,"SCAM, SPPA, DISP",Ambient,NA,1.5
GCReW,GENX,GENX,Ch5-5,Ch5,NA,5,"SCAM, SPPA, DISP",Ambient,NA,2.25
GCReW,GENX,GENX,Ch5-20,Ch5,NA,20,"SCAM, SPPA, DISP",Ambient,NA,2.25
GCReW,GENX,GENX,Ch5-40,Ch5,NA,40,"SCAM, SPPA, DISP",Ambient,NA,2.25
GCReW,GENX,GENX,Ch5-80,Ch5,NA,80,"SCAM, SPPA, DISP",Ambient,NA,2.25
GCReW,GENX,GENX,Ch6-5,Ch6,NA,5,"SCAM, SPPA, DISP",Ambient,NA,2.25
GCReW,GENX,GENX,Ch6-20,Ch6,NA,20,"SCAM, SPPA, DISP",Ambient,NA,2.25
GCReW,GENX,GENX,Ch6-40,Ch6,NA,40,"SCAM, SPPA, DISP",Ambient,NA,2.25
GCReW,GENX,GENX,Ch6-80,Ch6,NA,80,"SCAM, SPPA, DISP",Ambient,NA,2.25
GCReW,GENX,GENX,Ch7-5,Ch7,NA,5,"SCAM, SPPA, DISP",Ambient,NA,3
GCReW,GENX,GENX,Ch7-20,Ch7,NA,20,"SCAM, SPPA, DISP",Ambient,NA,3
GCReW,GENX,GENX,Ch7-40,Ch7,NA,40,"SCAM, SPPA, DISP",Ambient,NA,3
GCReW,GENX,GENX,Ch7-80,Ch7,NA,80,"SCAM, SPPA, DISP",Ambient,NA,3
GCReW,GENX,GENX,Ch8-5,Ch8,NA,5,"SCAM, SPPA, DISP",Ambient,NA,3.75
GCReW,GENX,GENX,Ch8-20,Ch8,NA,20,"SCAM, SPPA, DISP",Ambient,NA,3.75
GCReW,GENX,GENX,Ch8-40,Ch8,NA,40,"SCAM, SPPA, DISP",Ambient,NA,3.75
GCReW,GENX,GENX,Ch8-80,Ch8,NA,80,"SCAM, SPPA, DISP",Ambient,NA,3.75
GCReW,GENX,GENX,Ch9-5,Ch9,NA,5,"SCAM, SPPA, DISP",Ambient,NA,3.75
GCReW,GENX,GENX,Ch9-20,Ch9,NA,20,"SCAM, SPPA, DISP",Ambient,NA,3.75
GCReW,GENX,GENX,Ch9-40,Ch9,NA,40,"SCAM, SPPA, DISP",Ambient,NA,3.75
GCReW,GENX,GENX,Ch9-80,Ch9,NA,80,"SCAM, SPPA, DISP",Ambient,NA,3.75
GCReW,GENX,GENX,Ch10-5,Ch10,NA,5,"SCAM, SPPA, DISP",Ambient,NA,4.5
GCReW,GENX,GENX,Ch10-20,Ch10,NA,20,"SCAM, SPPA, DISP",Ambient,NA,4.5
GCReW,GENX,GENX,Ch10-40,Ch10,NA,40,"SCAM, SPPA, DISP",Ambient,NA,4.5
GCReW,GENX,GENX,Ch10-80,Ch10,NA,80,"SCAM, SPPA, DISP",Ambient,NA,4.5
GCReW,GENX,GENX,Ch11-5,Ch11,NA,5,"SCAM, SPPA, DISP",Ambient,NA,5.25
GCReW,GENX,GENX,Ch11-20,Ch11,NA,20,"SCAM, SPPA, DISP",Ambient,NA,5.25
GCReW,GENX,GENX,Ch11-40,Ch11,NA,40,"SCAM, SPPA, DISP",Ambient,NA,5.25
GCReW,GENX,GENX,Ch11-80,Ch11,NA,80,"SCAM, SPPA, DISP",Ambient,NA,5.25
GCReW,GENX,GENX,Ch12-5,Ch12,NA,5,"SCAM, SPPA, DISP",Ambient,NA,6
GCReW,GENX,GENX,Ch12-20,Ch12,NA,20,"SCAM, SPPA, DISP",Ambient,NA,6
GCReW,GENX,GENX,Ch12-40,Ch12,NA,40,"SCAM, SPPA, DISP",Ambient,NA,6
GCReW,GENX,GENX,Ch12-80,Ch12,NA,80,"SCAM, SPPA, DISP",Ambient,NA,6
